ID,PYIELD_MODEL
4530,1.758971931
4531,2.273895514
4532,1.652115364
4533,3.109235253
4534,4.271892307
4535,4.024057697
4537,3.808599449
4538,5.790397797
4539,7.86945484
4540,7.202390899
4542,5.160874101
4543,4.588058311
4544,2.9777508
4545,5.716528336
4546,6.070068545
4547,5.295550392
4548,7.034362826
4550,5.331767243
4551,5.820529254
4552,7.271841613
4553,6.404593778
4554,7.930259841
4555,8.7734584
4557,3.03918084
4558,4.99053924
4559,6.571191759
4560,4.982751863
4561,4.935229913
4562,5.731036311
4564,6.373132805
4565,3.792466293
4566,4.190546792
4567,3.949089096
4568,2.383882837
4569,5.8349331
4571,6.851356455
4572,2.22814839
4573,7.376992096
4574,5.63446203
4575,4.160488791
4576,5.307694201
4577,4.757515175
4578,8.045956285
4579,6.428390952
4582,4.107333437
4583,5.395035596
4584,3.77439455
4312,7.616724578
4313,8.327966806
4314,8.620220447
4315,5.913220494
4316,7.71773557
4319,5.213432824
4320,6.799317336
4321,9.906524336
4322,8.087812801
4323,9.336906599
4324,8.259779002
4326,8.221193734
4327,10.68039568
4328,9.908873991
4329,11.61960725
4331,6.868981353
4332,5.377381039
4333,5.190235346
4334,7.17876583
4335,8.170393714
4336,9.555557065
4337,5.982384916
4338,9.637910031
4340,5.685724364
4341,9.256142711
4342,7.908484497
4343,8.639600638
4345,6.163512866
4346,4.8855019
4347,11.75887649
4348,5.842655133
4349,8.395872827
4350,8.122405497
4352,12.15629898
4353,6.840203896
4354,8.228145636
4355,5.773093047
4356,5.015234964
4357,7.539078808
4358,9.066810185
4359,7.973699527
4361,8.615373855
4366,6.332320269
4367,8.052496023
4369,7.167923052
4370,6.673487111
4371,11.86762851
4372,7.787122971
4373,8.503248941
4374,9.434168797
4375,4.880058422
4377,6.555257051
4379,10.57707308
4382,7.284847276
4383,9.228294101
4384,7.15705504
4385,8.338653151
4386,6.315631709
4387,4.433954193
4388,12.01925378
4390,11.50793086
4391,9.152008482
4392,8.423739274
4393,11.30888163
4396,9.772687607
4397,7.764639025
4398,8.453344415
4399,7.546512305
4400,9.890604776
4401,10.12367766
4402,5.666768684
4403,8.719292254
4404,12.2293031
4405,11.75907008
4406,8.39374627
4407,7.501327845
4408,8.748723706
4409,6.444790081
4410,6.498303104
4413,6.584788751
4414,6.164652631
4415,6.948915706
4418,5.975845951
4419,6.450475589
4420,6.245980791
4421,6.994727854
4422,11.82024729
4423,9.926552735
4424,7.433680671
4425,6.045027327
4426,5.791174083
4427,8.478471862
4428,7.567159353
4429,5.608849598
4430,4.628484088
4431,4.69289201
4432,4.079428299
4433,0.191486938
4434,2.42555156
4435,1.553432469
4437,2.365994438
4438,2.134115889
4439,0.364935053
4440,7.866001578
4442,3.520125095
4443,4.272026849
4444,4.299841064
4445,7.533888096
4446,1.475631949
4447,4.895153585
4448,4.282597639
4450,4.029861168
4451,6.2210583
4452,6.81991106
4454,8.40559329
4455,2.88933208
4456,3.355001134
4458,6.137047179
4459,6.809665955
4460,6.9779364
4461,8.16074728
4462,7.13186987
4463,1.872485257
4464,4.195337984
4466,4.529784886
4467,4.424369156
4468,5.240727306
4469,5.482246778
4470,8.543412801
4471,4.163092872
4472,5.888069071
4473,7.392173507
4474,10.24776285
4475,5.709307875
4477,6.117341888
4479,5.417044089
4480,6.916212502
4481,4.953207418
4482,4.305704333
4483,6.559523861
4485,6.765720938
4486,6.638850822
4487,7.94951353
4488,8.249711181
4489,6.774090815
4490,8.385723184
4492,4.097012286
4493,3.846476737
4494,5.611910627
4496,8.936617442
4497,5.453068021
4499,8.401564751
4500,4.393967484
4501,6.429492187
4502,9.11956904
4503,6.040880759
4504,7.162396589
4505,4.548395234
4506,3.623353634
4507,8.5510574
4508,4.016834702
4509,7.45886103
4510,2.515000738
4511,7.67988759
4512,6.355477851
4514,4.390865831
4515,5.852514039
4516,6.451599084
4517,5.848714068
4518,6.125336473
4520,3.121858922
4522,1.15905537
4523,3.076667076
4524,2.613221073
4526,6.808934905
4527,5.055768033
4528,5.403800539
4529,7.466885406
4530,1.833585006
4531,3.371355028
4532,0.976929465
4533,4.108511767
4534,4.858479194
4535,4.250169469
4537,3.369797077
4538,3.99260336
4539,7.295707616
4540,6.482717032
4542,4.809155923
4543,5.077339381
4544,4.287740097
4545,9.101516867
4546,5.762711159
4547,3.782056436
4548,8.458578376
4550,3.752946285
4551,6.44876632
4552,8.765754723
4553,6.998356809
4554,7.740787953
4555,8.84566839
4557,2.389425626
4558,5.177830979
4559,7.072033562
4560,3.653778056
4561,4.479897263
4562,6.143277465
4564,6.935328362
4565,5.519578391
4566,4.443352065
4567,4.784335207
4568,2.011909605
4569,5.43988335
4571,7.819217237
4572,1.295668992
4573,6.093134072
4574,4.382610904
4575,6.075581405
4576,6.215661691
4577,4.007068906
4578,9.578613556
4579,4.370388367
4582,5.809580945
4583,7.488691759
4584,3.204188069
4312,5.070692707
4313,8.349158736
4314,8.852194841
4315,6.00304919
4316,8.998096812
4319,6.30011617
4320,7.356975025
4321,9.27437234
4322,8.937776757
4323,11.18346477
4324,7.220202658
4326,9.552794814
4327,11.43762081
4328,9.677957261
4329,7.482862221
4331,7.329038222
4332,6.293469953
4333,5.315286515
4334,5.191037044
4335,10.93454604
4336,9.559001259
4337,4.999830365
4338,9.378001715
4340,7.304802833
4341,9.312049397
4342,7.91538534
4343,9.743357839
4345,7.652236903
4346,3.759016612
4347,12.04289785
4348,5.522826156
4349,8.779765664
4350,6.475571976
4352,10.67683713
4353,7.10772138
4354,8.427850485
4355,4.971461522
4356,4.978972874
4357,7.013196013
4358,11.63679069
