ID,LOCATION,lat,long
4448,RRS,30.26878,-91.108278
4450,RRS,30.26878,-91.108278
4451,RRS,30.26878,-91.108278
4452,RRS,30.26878,-91.108278
4454,RRS,30.26878,-91.108278
4455,RRS,30.26878,-91.108278
4456,RRS,30.26878,-91.108278
4458,RRS,30.26878,-91.108278
4459,RRS,30.26878,-91.108278
4460,RRS,30.26878,-91.108278
4461,RRS,30.26878,-91.108278
4462,RRS,30.26878,-91.108278
4463,RRS,30.26878,-91.108278
4464,RRS,30.26878,-91.108278
4466,RRS,30.26878,-91.108278
4467,RRS,30.26878,-91.108278
4468,RRS,30.26878,-91.108278
4469,RRS,30.26878,-91.108278
4470,RRS,30.26878,-91.108278
4471,RRS,30.26878,-91.108278
4472,RRS,30.26878,-91.108278
4473,RRS,30.26878,-91.108278
4474,RRS,30.26878,-91.108278
4475,RRS,30.26878,-91.108278
4477,RRS,30.26878,-91.108278
4479,RRS,30.26878,-91.108278
4480,RRS,30.26878,-91.108278
4481,RRS,30.26878,-91.108278
4482,RRS,30.26878,-91.108278
4483,RRS,30.26878,-91.108278
4485,RRS,30.26878,-91.108278
4486,RRS,30.26878,-91.108278
4487,RRS,30.26878,-91.108278
4488,RRS,30.26878,-91.108278
4489,RRS,30.26878,-91.108278
4490,RRS,30.26878,-91.108278
4492,RRS,30.26878,-91.108278
4493,RRS,30.26878,-91.108278
4494,RRS,30.26878,-91.108278
4496,RRS,30.26878,-91.108278
4497,RRS,30.26878,-91.108278
4499,RRS,30.26878,-91.108278
4500,RRS,30.26878,-91.108278
4501,RRS,30.26878,-91.108278
4502,RRS,30.26878,-91.108278
4503,RRS,30.26878,-91.108278
4504,RRS,30.26878,-91.108278
4505,RRS,30.26878,-91.108278
4506,RRS,30.26878,-91.108278
4507,RRS,30.26878,-91.108278
4508,RRS,30.26878,-91.108278
4509,RRS,30.26878,-91.108278
4510,RRS,30.26878,-91.108278
4511,RRS,30.26878,-91.108278
4512,RRS,30.26878,-91.108278
4514,RRS,30.26878,-91.108278
4515,RRS,30.26878,-91.108278
4516,RRS,30.26878,-91.108278
4517,RRS,30.26878,-91.108278
4518,RRS,30.26878,-91.108278
4520,RRS,30.26878,-91.108278
4522,RRS,30.26878,-91.108278
4523,RRS,30.26878,-91.108278
4524,RRS,30.26878,-91.108278
4526,RRS,30.26878,-91.108278
4527,RRS,30.26878,-91.108278
4528,RRS,30.26878,-91.108278
4529,RRS,30.26878,-91.108278
4530,RRS,30.26878,-91.108278
4531,RRS,30.26878,-91.108278
4532,RRS,30.26878,-91.108278
4533,RRS,30.26878,-91.108278
4534,RRS,30.26878,-91.108278
4535,RRS,30.26878,-91.108278
4537,RRS,30.26878,-91.108278
4538,RRS,30.26878,-91.108278
4539,RRS,30.26878,-91.108278
4540,RRS,30.26878,-91.108278
4542,RRS,30.26878,-91.108278
4543,RRS,30.26878,-91.108278
4544,RRS,30.26878,-91.108278
4545,RRS,30.26878,-91.108278
4546,RRS,30.26878,-91.108278
4547,RRS,30.26878,-91.108278
4548,RRS,30.26878,-91.108278
4550,RRS,30.26878,-91.108278
4551,RRS,30.26878,-91.108278
4552,RRS,30.26878,-91.108278
4553,RRS,30.26878,-91.108278
4554,RRS,30.26878,-91.108278
4555,RRS,30.26878,-91.108278
4557,RRS,30.26878,-91.108278
4558,RRS,30.26878,-91.108278
4559,RRS,30.26878,-91.108278
4560,RRS,30.26878,-91.108278
4561,RRS,30.26878,-91.108278
4562,RRS,30.26878,-91.108278
