ID,LOCATION,GDD_cum
4312,RRS,9076.5
4313,RRS,9076.5
4314,RRS,9076.5
4315,RRS,9076.5
4316,RRS,9076.5
4319,RRS,9076.5
4320,RRS,9076.5
4321,RRS,9076.5
4322,RRS,9076.5
4323,RRS,9076.5
4324,RRS,9076.5
4326,RRS,9076.5
4327,RRS,9076.5
4328,RRS,9076.5
4329,RRS,9076.5
4331,RRS,9076.5
4332,RRS,9076.5
4333,RRS,9076.5
4334,RRS,9076.5
4335,RRS,9076.5
4336,RRS,9076.5
4337,RRS,9076.5
4338,RRS,9076.5
4340,RRS,9076.5
4341,RRS,9076.5
4342,RRS,9076.5
4343,RRS,9076.5
4345,RRS,9076.5
4346,RRS,9076.5
4347,RRS,9076.5
4348,RRS,9076.5
4349,RRS,9076.5
4350,RRS,9076.5
4352,RRS,9076.5
4353,RRS,9076.5
4354,RRS,9076.5
4355,RRS,9076.5
4356,RRS,9076.5
4357,RRS,9076.5
4358,RRS,9076.5
4359,RRS,9076.5
4361,RRS,9076.5
4366,RRS,9076.5
4367,RRS,9076.5
4369,RRS,9076.5
4370,RRS,9076.5
4371,RRS,9076.5
4372,RRS,9076.5
4373,RRS,9076.5
4374,RRS,9076.5
4375,RRS,9076.5
4377,RRS,9076.5
4379,RRS,9076.5
4382,RRS,9076.5
4383,RRS,9076.5
4384,RRS,9076.5
4385,RRS,9076.5
4386,RRS,9076.5
4387,RRS,9076.5
4388,RRS,9076.5
4390,RRS,9076.5
4391,RRS,9076.5
4392,RRS,9076.5
4393,RRS,9076.5
4396,RRS,9076.5
4397,RRS,9076.5
4398,RRS,9076.5
4399,RRS,9076.5
4400,RRS,9076.5
4401,RRS,9076.5
4402,RRS,9076.5
4403,RRS,9076.5
4404,RRS,9076.5
4405,RRS,9076.5
4406,RRS,9076.5
4407,RRS,9076.5
4408,RRS,9076.5
4409,RRS,9076.5
4410,RRS,9076.5
4413,RRS,9076.5
4414,RRS,9076.5
4415,RRS,9076.5
4418,RRS,9076.5
4419,RRS,9076.5
4420,RRS,9076.5
4421,RRS,9076.5
4422,RRS,9076.5
4423,RRS,9076.5
4424,RRS,9076.5
4425,RRS,9076.5
4426,RRS,9076.5
4427,RRS,9076.5
4428,RRS,9076.5
4429,RRS,9076.5
