LOCATION,Date,MINTEMP,MAXTEMP
RRS,12/24/2015,71,81
RRS,12/25/2015,75,80
RRS,12/26/2015,75,81
RRS,12/27/2015,76,81
RRS,12/28/2015,45,76
RRS,12/29/2015,42,57
RRS,12/30/2015,52,59
RRS,12/31/2015,50,55
Catahoula,1/1/2015,46,61
Catahoula,1/2/2015,60,71
Catahoula,1/3/2015,64,84
Catahoula,1/4/2015,47,60
Catahoula,1/5/2015,38,51
Catahoula,1/6/2015,34,68
Catahoula,1/7/2015,32,65
Catahoula,1/8/2015,27,42
Catahoula,1/9/2015,41,44
Catahoula,1/10/2015,37,53
Catahoula,1/11/2015,48,65
Catahoula,1/12/2015,51,66
Catahoula,1/13/2015,42,56
Catahoula,1/14/2015,41,46
Catahoula,1/15/2015,43,56
Catahoula,1/16/2015,34,65
Catahoula,1/17/2015,36,65
Catahoula,1/18/2015,50,75
Catahoula,1/19/2015,39,74
Catahoula,1/20/2015,44,74
Catahoula,1/21/2015,51,76
Catahoula,1/22/2015,49,63
Catahoula,1/23/2015,51,45
Catahoula,1/24/2015,41,59
Catahoula,1/25/2015,44,72
Catahoula,1/26/2015,47,67
Catahoula,1/27/2015,55,82
Catahoula,1/28/2015,47,69
Catahoula,1/29/2015,52,77
Catahoula,1/30/2015,43,68
Catahoula,1/31/2015,46,67
Catahoula,2/1/2015,61,74
Catahoula,2/2/2015,34,58
Catahoula,2/3/2015,40,49
Catahoula,2/4/2015,43,58
Catahoula,2/5/2015,42,59
Catahoula,2/6/2015,35,64
Catahoula,2/7/2015,44,69
Catahoula,2/8/2015,54,81
Catahoula,2/9/2015,62,83
Catahoula,2/10/2015,46,72
Catahoula,2/11/2015,50,81
Catahoula,2/12/2015,42,70
Catahoula,2/13/2015,33,64
Catahoula,2/14/2015,43,76
Catahoula,2/15/2015,56,65
Catahoula,2/16/2015,40,79
Catahoula,2/17/2015,39,53
Catahoula,2/18/2015,35,60
Catahoula,2/19/2015,43,56
Catahoula,2/20/2015,47,74
Catahoula,2/21/2015,70,71
Catahoula,2/22/2015,47,74
Catahoula,2/23/2015,39,51
Catahoula,2/24/2015,33,47
Catahoula,2/25/2015,42,47
Catahoula,2/26/2015,42,56
Catahoula,2/27/2015,43,53
Catahoula,2/28/2015,35,71
Catahoula,3/1/2015,58,84
Catahoula,3/2/2015,53,68
Catahoula,3/3/2015,60,84
Catahoula,3/4/2015,72,88
Catahoula,3/5/2015,38,79
Catahoula,3/6/2015,32,46
Catahoula,3/7/2015,31,65
Catahoula,3/8/2015,57,73
Catahoula,3/9/2015,54,74
Catahoula,3/10/2015,68,76
Catahoula,3/11/2015,59,65
Catahoula,3/12/2015,66,74
Catahoula,3/13/2015,63,80
Catahoula,3/14/2015,64,80
Catahoula,3/15/2015,62,84
Catahoula,3/16/2015,59,81
Catahoula,3/17/2015,61,84
Catahoula,3/18/2015,74,80
Catahoula,3/19/2015,69,81
Catahoula,3/20/2015,72,87
Catahoula,3/21/2015,66,80
Catahoula,3/22/2015,65,83
Catahoula,3/23/2015,56,69
Catahoula,3/24/2015,61,81
Catahoula,3/25/2015,62,81
Catahoula,3/26/2015,59,78
Catahoula,3/27/2015,51,80
Catahoula,3/28/2015,52,80
Catahoula,3/29/2015,58,83
Catahoula,3/30/2015,60,87
Catahoula,3/31/2015,67,90
Catahoula,4/1/2015,60,87
Catahoula,4/2/2015,76,88
Catahoula,4/3/2015,70,90
Catahoula,4/4/2015,62,76
Catahoula,4/5/2015,58,76
Catahoula,4/6/2015,61,83
Catahoula,4/7/2015,68,89
Catahoula,4/8/2015,67,87
Catahoula,4/9/2015,81,89
Catahoula,4/10/2015,66,87
Catahoula,4/11/2015,67,84
Catahoula,4/12/2015,76,78
Catahoula,4/13/2015,67,88
Catahoula,4/14/2015,79,76
Catahoula,4/15/2015,72,90
Catahoula,4/16/2015,69,78
Catahoula,4/17/2015,70,85
Catahoula,4/18/2015,73,83
Catahoula,4/19/2015,70,86
Catahoula,4/20/2015,63,79
Catahoula,4/21/2015,62,78
Catahoula,4/22/2015,64,88
Catahoula,4/23/2015,74,93
Catahoula,4/24/2015,75,87
Catahoula,4/25/2015,69,83
Catahoula,4/26/2015,71,92
Catahoula,4/27/2015,68,83
Catahoula,4/28/2015,67,74
Catahoula,4/29/2015,54,75
