"Silty clay loam"||"135126409"|"137444479"
"Sandy clay loam"||"135126420"|"137444584"
"Loam"||"135126627"|"137444885"
"Loam"||"135126730"|"137444971"
"Clay loam"||"135126972"|"137445038"
"Very fine sandy loam"||"135126649"|"137444564"
"Silt loam"||"135126476"|"137445018"
"Very fine sandy loam"||"135126920"|"137444702"
"Clay"||"135126613"|"137444870"
"Silt loam"||"135126971"|"137445036"
"Silty clay loam"||"135126816"|"137445092"
"Silty clay"||"135126417"|"137444887"
"Silty clay loam"||"135126472"|"137444712"
"Silty clay loam"||"135126897"|"137444816"
"Silt loam"||"135126803"|"137445046"
"Silty clay"||"135126738"|"137444806"
"Silt loam"||"135126764"|"137444517"
"Fine sandy loam"||"135126727"|"137444968"
"Very fine sandy loam"||"135126660"|"137444579"
"Loam"||"135126634"|"137444864"
"Clay"||"135126899"|"137444508"
"Loam"||"135126623"|"137444716"
"Silt loam"||"135126608"|"137444724"
"Clay"||"135126814"|"137445082"
"Clay"||"135126827"|"137445086"
"Silty clay loam"||"135126723"|"137444808"
"Clay"||"135126805"|"137445072"
"Silt loam"||"135126973"|"137445039"
"Silty clay loam"||"135126921"|"137444542"
"Sandy clay loam"||"135126760"|"137444990"
"Clay loam"||"135126402"|"137444586"
"Sandy clay loam"||"135126413"|"137444634"
"Sandy clay loam"||"135126645"|"137444720"
"Very fine sandy loam"||"135126960"|"137444857"
"Loam"||"135126749"|"137444987"
